Article (Author et al YYYY),Sample Name,Sample Type,38.86531,-108.39814,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
DMR Permits et al 2024,1800 LARIMER LLC,Ground Water,39.751667,-104.993333,2024,04/30/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,1800 LARIMER LLC,Ground Water,39.743921,-104.992959,2022,12/31/2022,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,01/31/2021,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,02/28/2021,,,,,ng/L,34.5,41,,2.29,5,8.74,63.1,32.5,0.875,0,0,0,0,,,0,0,,67.6,1.32,29,27.5,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,03/31/2021,,,,,ng/L,50,39.3,,4.36,5.29,8.61,54.3,32.8,0.659,0,0,0,0,,,0,0,,65.7,1.18,29.4,33.6,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,04/30/2021,,,,,ng/L,48.7,53.5,,3.27,5.52,9.72,67,33.8,0.605,0,0,0,0,,,0,0,,67.9,1.18,37,38.6,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0.905,0.71,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,05/31/2021,,,,,ng/L,70.6,57.5,,6.72,8.94,11.9,66,40.5,0.723,0,0,0,0,,,0,0,,68.8,1.62,35.8,35.4,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,06/30/2021,,,,,ng/L,55.4,56.2,,5.19,8.31,9.32,51,34.6,0.695,0,0,0,0,,,0,0,,66.9,1.01,29.3,38.9,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,07/31/2021,,,,,ng/L,54.9,55.3,,5.35,7.89,10.3,56.2,36.8,0.787,0,0,0,0,,,0,0,,70.3,1.1,31.4,40.6,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,08/31/2021,,,,,ng/L,63.2,52.9,,6.41,8.86,10,58.3,38.4,0.786,0,0,0,0,,,0,0,,74,1.06,28.5,44.4,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0.632,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,09/30/2021,,,,,ng/L,48.9,46.4,,6.04,5.79,8.64,57.1,30.7,0.626,0,0,0,0,,,0,0,,60.5,1.02,26.8,28.2,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,10/31/2021,,,,,ng/L,41.5,44.7,,4.19,5.08,8.88,53.6,30.6,0.648,0,0,0,0,,,0,0,,59.4,1.03,24.8,28.1,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,11/30/2021,,,,,ng/L,40.7,49.8,,4.16,4.98,9.07,69.9,32.8,0.755,0,0,0,0,,,0,0,,72,1.19,29.9,30.7,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2021,12/31/2021,,,,,ng/L,48.1,53.8,,4.19,5.53,10.1,63.2,31.9,0.74,0,0,0,0,,,0,0,,72.4,1.09,29.8,43,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,01/31/2022,,,,,ng/L,40.6,42.9,,2.99,4.41,9.21,62.1,28.9,0,0,0,0,0,,,0,0,,59.9,1.38,28.2,31.4,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,02/28/2022,,,,,ng/L,52.3,46.8,,4.27,5.03,8.44,70.5,32.7,0,0,0,0,0,,,0,0,,74,0,30.5,37.7,0,0,,,,,,,0,0,,0,,0,0,0,0,1.78,0,,1.76,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,03/31/2022,,,,,ng/L,40,40.5,,3.7,4.61,8.74,56.8,27.4,0,0,0,0,0,,,0,0,,61.5,0,29,31,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,04/30/2022,,,,,ng/L,48.9,37.8,,4.02,4.85,9.62,50.3,35.3,0,0,0,0,0,,,0,0,,66.3,0,30.4,32.3,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,05/31/2022,,,,,ng/L,33.4,34.2,,3.42,4.69,5.9,48.2,25.6,0,0,0,0,0,,,0,0,,51,0,23.2,25.4,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,06/30/2022,,,,,ng/L,60.3,48.2,,4.6,5.44,7.89,53.7,32.9,0,0,0,0,0,,,0,0,,55.9,0,31.9,30.2,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,07/31/2022,,,,,ng/L,44.7,46.3,,4.21,6.39,7.66,52.1,37.1,0,0,0,23.1,0,,,0,0,,61.5,0,30.5,35,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,08/31/2022,,,,,ng/L,89,55.2,,10.4,10.2,10.5,63.1,32.9,0,0,0,0,0,,,0,0,,77.3,0,33,35.8,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,09/30/2022,,,,,ng/L,55.85,52.7,,6.2,6.8,8.9,62.4,34.9,0,0,0,0,0,,,0,0,,61.6,0,35.9,34.5,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,10/31/2022,,,,,ng/L,65.3,57.9,,6.45,8.14,8.71,68.4,40.5,0,0,0,0,0,,,0,0,,77.1,0,36.2,37.3,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,11/30/2022,,,,,ng/L,65.4,41.9,,5.95,6.62,7.91,47.8,30.9,0,0,0,0,0,,,0,0,,62.3,0,23.9,30.5,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2022,12/31/2022,,,,,ng/L,31.2,36.2,,2.78,4.41,8.29,42.7,22.8,0,0,0,0,0,,,0,0,,52.5,0,23.3,25.1,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0.87,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,01/31/2023,,,,,ng/L,31.5,34.1,,2.93,4.17,8.94,43.8,28.2,0,0,0,0,0,,,0,0,,55.5,0,22.3,29.1,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,02/28/2023,,,,,ng/L,34.1,37.8,,3.09,4.7,8.72,48.5,26.7,0,0,0,0,0,,,0,0,,59.7,0,22.9,34.3,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,03/31/2023,,,,,ng/L,45.5,42.7,,3.58,4.92,8.48,52.3,28.4,0,0,0,0,0,,,0,0,,65.2,0,27.3,31.2,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,04/30/2023,,,,,ng/L,46.7,35.8,,3.57,4.86,7.63,48.6,24.9,0,0,0,0,0,,,0,0,,59.7,2.03,26.2,33.9,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,05/31/2023,,,,,ng/L,72.6,58.9,,5.19,7.62,10.2,58.3,35.1,0,0,0,0,0,,,0,0,,69.7,2.35,26,38.8,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,06/30/2023,,,,,ng/L,83,54.7,,10.7,10.2,5.67,36.7,23,0.883,0,0,0,0,,,0,0,,48.7,0.804,19.7,25.2,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0.837,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,07/31/2023,,,,,ng/L,80.3,62,,10.2,8.66,10.1,56.2,36.5,1.04,0,0,0,0,,,0,0,,75.1,1.21,33.7,42.3,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,1,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,08/31/2023,,,,,ng/L,55.4,48.7,,7.81,6.65,9.52,58.2,27.9,1.14,0,0,0,0,,,0,0,,60.6,1.41,27.8,39,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0.791,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,09/30/2023,,,,,ng/L,47.8,43.3,,6.51,4.58,8.91,52,25.6,0.775,0,0,0,0,,,0,0,,58.4,1.02,24.1,27.9,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,10/31/2023,,,,,ng/L,47.2,40.1,,6.81,4.77,7.79,43.8,27.6,0.64,0,0,0,0,,,0,0,,61.3,1.1,21.5,26.7,0,0,,,,,,,0,0,,0,,0,0,0,0,4.66,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,11/30/2023,,,,,ng/L,37.3,40.6,,4.06,4.44,8.96,43.3,25.3,0.588,0,0,0,0,,,0,0,,56,1.28,23.4,28.9,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2023,12/31/2023,,,,,ng/L,35.3,39.2,,3.85,3.47,8.05,45.9,28.8,0.678,0,0,0,0,,,0,0,,51.5,0.984,26.5,27.9,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2024,01/31/2024,,,,,ng/L,31.4,35.5,,2.84,3.48,7.05,43.9,23.6,0,0,0,0,0,,,0,0,,53.1,0.906,21.6,25.2,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2024,01/31/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2024,02/29/2024,,,,,ng/L,37.1,34.9,,3.83,3.71,5.79,43.8,23.5,0,0,0,0,0,,,0,0,,50.8,0.864,23.3,25.7,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2024,02/29/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2024,03/31/2024,,,,,ng/L,49.2,34.3,,5.54,4.54,5.97,41.6,23.3,0.563,0,0,0,0,,,0,0,,51.1,0.868,23.1,24.8,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0.817,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2024,03/31/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2024,04/30/2024,,,,,ng/L,49.4,38.9,,4.42,5.07,7.49,43.2,31.6,0.891,0,0,0,0,,,0,0,,56.3,0.919,26.3,28.9,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0.719,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2024,04/30/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743921,-104.992959,2024,05/31/2024,,,,,ng/L,51.9,46.8,,6.73,6.51,6.93,44,26.1,0.651,0,0,0,0,,,0,0,,56.7,0.86,22.2,29.8,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,1.21,0,0,,0,0,0,
DMR Permits et al 2024,HYATT REGENCY,Ground Water,39.743889,-105.000833,2024,05/31/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,02/28/2021,,,,,ng/L,13,11,,0,0.67,15,6.1,2.2,0.41,0,0,0,0,,,0,0,,5.9,3.2,16,24,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0.53,1.1,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,01/31/2021,,,,,ng/L,17,16,,0.42,0.67,15,11,4.6,0,0,0,0,0,,,0,0,,13,2.9,17,27,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,02/28/2021,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,03/31/2021,,,,,ng/L,19,17,,0,0.68,19,17,4.8,0.55,0,0,0,0,,,0,0,,17,3.7,20,31,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0.31,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,04/30/2021,,,,,ng/L,12,14,,0,0,14,15,5.2,0.42,0,0,0,0,,,0,0,,16,3.3,18,23,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,05/31/2021,,,,,ng/L,0,13,,0.45,0.51,0,17,6.1,0,0,0,0,0,,,0,0,,17,0,0,22,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,06/30/2021,,,,,ng/L,15,16,,0,0.54,16,20,7.6,0.5,0,0,0,0,,,0,0,,24,3.3,18,25,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,07/31/2021,,,,,ng/L,13,16,,0,0,15,19,7.3,0,0,0,0,0,,,0,0,,20,2.5,17,18,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,13,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,08/31/2021,,,,,ng/L,15,17,,0,0.46,17,18,8.5,0.6,0,0,0,0,,,0,0,,19,3.1,18,27,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0.33,0,0,15,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,09/30/2021,,,,,ng/L,17,20,,0.55,0.72,19,18,7.4,0.47,0,0,0,0,,,0,0,,20,3.8,24,30,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,10/31/2021,,,,,ng/L,16,17,,0,0,18,18,7.4,0.56,0,0,0,0,,,0,0,,18,3.5,21,28,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,11/30/2021,,,,,ng/L,11,16,,0.3,0.52,15,14,5.2,0.34,0,0,0,0,,,0,0,,14,2.9,14,29,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2021,12/31/2021,,,,,ng/L,13,15,,0,0.61,15,12,4.9,0.39,0,0,0,0,,,0,0,,12,2.6,15,28,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,01/31/2022,,,,,ng/L,11,13,,0,0.69,14,11,4.8,0.5,0,0,0,0,,,0,0,,11,2.8,17,26,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,02/28/2022,,,,,ng/L,12,11,,0.35,0.58,16,10,3.9,0.51,0,0,0,0,,,0,0,,10,3.2,20,26,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,03/31/2022,,,,,ng/L,14,14,,0,0,19,16,6.4,0.5,0,0,0,0,,,0,0,,18,3.4,24,27,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,04/30/2022,,,,,ng/L,17,15,,0,0.55,17,16,6.1,0.47,0,0,0,0,,,0,0,,17,3.8,20,23,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,05/31/2022,,,,,ng/L,13,13,,0.25,0.49,17,16,6.6,0.44,0,0,0,0,,,0,0,,20,3.5,22,26,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,06/30/2022,,,,,ng/L,21,0,,0,21,21,25,10,0.69,0,0,0,0,,,0,0,,31,4,26,32,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,07/31/2022,,,,,ng/L,17,19,,0,0.54,18,22,8.8,0.74,0,0,0,0,,,0,0,,24,4.2,23,27,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,17,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,08/31/2022,,,,,ng/L,0,23,,1.5,1.9,0,25,12,0,0,0,0,0,,,0,0,,38,0,0,33,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,09/30/2022,,,,,ng/L,18,20,,0,0.67,19,18,8.8,0.65,0,0,0,0,,,0,0,,23,0,30,28,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,10/31/2022,,,,,ng/L,18,19,,0,0.68,19,20,8.4,0.8,0,0,0,0,,,0,0,,20,0,23,32,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,11/30/2022,,,,,ng/L,17,18,,0.45,0.76,17,15,6.1,0.6,0,0,0,0,,,0,0,,16,3.1,19,29,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2022,12/31/2022,,,,,ng/L,12,14,,0,0,15,13,6.1,0.39,0,0,0,0,,,0,0,,14,0,20,26,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,12,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2023,01/31/2023,,,,,ng/L,0,10,,0.19,0.5,0,9.4,3.3,0,0,0,0,0,,,0,0,,11,0,0,24,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,16,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2023,02/28/2023,,,,,ng/L,16,18,,0.3,0.78,17,12,5.6,0,0,0,0,0,,,0,0,,14,3.3,22,30,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2023,03/31/2023,,,,,ng/L,0,18,,0,0,0,12,5.6,0,0,0,0,0,,,0,0,,14,0,0,30,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2023,04/30/2023,,,,,ng/L,12,15,,0,0,15,9.8,0,0,0,0,0,0,,,0,0,,9.5,0,19,23,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2023,05/31/2023,,,,,ng/L,12,11,,0.15,0.44,16,14,5.3,0,0,0,0,0,,,0,0,,16,0,19,23,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2023,06/30/2023,,,,,ng/L,0,21,,0,0.95,0,29,11,0,0,0,0,0,,,0,0,,31,0,0,32,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,24,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2023,07/31/2023,,,,,ng/L,24,21,,0,0.95,21,29,32,0,0,0,0,0,,,0,0,,31,0,32,32,0,0,,,,,,,0,0,,0,,0,0,0,0,11,0,,0,0,0,24,0,0,,0,0,0,
DMR Permits et al 2024,AURARIA SCIENCE BUILDING,Ground Water,39.743889,-105.000833,2023,08/31/2023,,,,,ng/L,20,17,,0,0.82,20,19,7.8,0,0,0,0,0,,,0,0,,21,3.7,26,26,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
