Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Camacho_et_al_2024,STJ_0306_002,Surface Water,30.1609,-81.3604,,,EPA 1633,7.6,10.9,1.6,2.4,1.9,0,10.3,3.6,,,0,,,,,,,,,0,7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0307_003,Surface Water,30.0227,-81.328,,,EPA 1633,4,4.1,0,0,1.2,0,3,1.1,,,0,,,,,,,,,0,1.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0308_004,Surface Water,29.9906,-81.3143,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0309_005,Surface Water,29.9542,-81.3123,,,EPA 1633,0,0,0,0,0,0,1.1,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0310_006,Surface Water,29.9431,-81.3086,,,EPA 1633,0,1.9,0,0,0,0,1.3,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0311_007,Surface Water,29.9167,-81.2985,,,EPA 1633,0,1.9,0,0,0,0,1.2,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0330_008,Surface Water,30.1039,-81.6557,,,EPA 1633,5.3,4.7,0,1.9,1.4,0,4.2,1.7,,,0,,,,,,,,,0,1.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0402_009,Surface Water,29.990381,-81.364607,,,EPA 1633,0,3,0,0,0,0,3.1,0,,,0,,,,,,,,,0,0.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0403_010,Surface Water,29.972612,-81.34961,,,EPA 1633,6,5,0,0,1.9,0,12.7,9.5,,,0,,,,,,,,,0,0.2,,,,,,,,,,,1.1,,,,,,,,,,,0,,0.3,,0,0,,,,,
Camacho_et_al_2024,STJ_0404_011,Surface Water,29.950323,-81.332811,,,EPA 1633,5.1,4.7,0,0,1.3,0,6,2.4,,,0,,,,,,,,,0,1.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0405_012,Surface Water,29.936971,-81.36208,,,EPA 1633,9.8,13,0,2.3,8.9,4.2,180.1,84,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0406_013,Surface Water,29.920715,-81.360854,,,EPA 1633,16.9,5.1,0,0,2.6,26.2,9,4.2,,,0,,,,,,,,,0,4.5,,,,,,,,,,,1.2,,,,,,,,,,,0,,0,,0,0,,,,,
